person_id,political_party,source,location,purpose,items_paid_or_provided
2746,r,Oklahoma Bar Association,,,"12/10/04 Speaker at Bankruptcy Seminar, Oklahoma City, OK (transportation, meals, incidentals) -"
2746,r,Just the Beginning Foundation,,,"9/30/04-10/3/04 Sixth Biennial Conference, Philadelphia, PA (lodging, meals)"
2746,r,Department of Justice,,,"4/15/04 Speaker at Seminar on Sentencing Guidelines, Columbia, SC (transportation, lodging, meals, incidentals)"
2746,r,American Inns of Court Foundation,"Orlando, Flonda",Board meeting,"Aartare, lodging, food"
2746,r,American Inns of Court Foundation,"Alexandria, Virginia",Board meeting,"Airfare, lodging, food"
2746,r,American Inn of Court Foundation,"Atlanta, Georgia",Board meeting,"airtare, lodging, food, ground transport"
2746,r,Federal Judges Association,"Washington, D.C",Board meeting,"airfare, lodging, food, ground transport"
2746,r,Federal Judges Association,"Washington, D.C",Board meeting,"airfare, lodging, food, ground transport"
2746,r,American Inns of Court Foundation,"Denver, Colorado",Board meeting,"arrtare, lodging, food, ground transport"
2746,r,American Inns of Court Foundation,"Alexandna, Virgima",Board meeting,"Aartare, lodging, food"
2746,r,American lons of Court Foundation,"Anaheim, California",Board meeting,"Airfare, lodging, food"
2746,r,National Conference of Bankruptcy Judges,"Miami, Flonda",Speech,"Asrtare, lodging, food"
2746,r,American Inns of Court Foundation,"Washington, D.C",Board meeting,"Aartare, lodging, food"
2746,r,American Association of Law Schools,New York City,Speech,"Airfare, lodging, food"
2743,d,Foundation for Research in Environment and Economics,,,"Terrorism seminar, Racine Wis. 10/8-10 (travel)"
2743,d,National Association of Law Placement,,,"OSCAR presentation at national convention, Chicago 4/20 (travel, meals)"
2743,d,Suffolk University Law School re  rea ,,,"Lectures at summer law school, Land, Sweden June 20-22 (Travel, lodging, meals)"
2743,d,JAMS,"New York, NY",arbitrartion seminar,hotel
2742,d,Federal Judicial Center,"Malibu, CA",FJC educational seminar or program,"Food, Lodging, Airfare, Shuttle and Tips"
2742,d,Department of Justice,"Kathmandu, Nepal",Meeting or seminar with another government entity,"Food, Lodging, Airfare, Taxi and Tips"
2742,d,Patent & Trademark Office,"Gabarone, Botswana",Meeting or seminar with another government entity,"Food, Lodging, Airfare, Taxi and Tips"
2742,d,U.S. Sentencing Commission,"Chicago, IL","Meeting sponsored by the AO, FJC, USSC or JPMDL","Food, Lodging, Taxi and Tips"
2742,d,Federal Judicial Center,"Lake Tahoe, NV",FJC educational seminar or program,"Food, Lodging, Airfare, Shuttle and Tips"
2742,d,Bar Group or Association,"Washington, DC",Activity of professional association or civic organization,"Food, Lodging, Transportation and Tips"
2742,d,Lawyers Without Borders,"Nairobi, Kenya",Activity of a Civic Org,"Transportation, visa entry fee, food and gratuity"
2742,d,BEIT HASHOAN-MUSEUM OF TOLERANCE,,,"JULY 12, LOS ANGELES, CA, HATE CRIMES & TERRORISM SEMINAR(HOTEL $456)"
2742,d,STATE BAR OF MICHIGAN,,,"- SEMINAR, (HOTEL AND FOOD)"
2742,d,NORTH EASTERN UNIVERSITY,,,"MAY 12-13 BOSTON, MA. - SEMINAR (TRANSPORTATION, HOTEL AND FOOD)"
2742,d,UNIVERSITY OF MICHIGAN,"MACKINAC ISLAND, MICHIGAN",EDUCATIONAL SEMINAR/PROGRAM,TRANSPORTATION AND FOOD
2742,d,World Bank,"Nairobi, Kenya",Activity of a Civic Org.,"Transportation, meals and lodging"
2742,d,Judicial Conference Committee,"Nashville, TN",Meeting of circust judicial council or committees,"Food, Lodging, Airfare, Taxi and Tips"
2742,d,CENTER,UNIVERSITY SCHOOL OF LAW,EMPLOYMENT LAW FOR FEDERAL JUDGES,"HAE EE Ad bly Cn bh fall LN (Delle yr ORLY MILEAGE, ROOM TAXES AND AGENCY FEES"
2742,d,EASTERN DISTRICT OF MICHIGAN,,BANKRUPTCY NEGOTIATIONS,FEES AND TIPS So
2742,d,University of South Carolina,"Cape Town, South Africa",Non-FIC educational seminar or program,"Hotel, meals, taxi and room taxes"
2742,d,Federal Judicial Center,"Windhoek, Namibia",FJC educational seminar or program,"Airfare, hotel, meals, taxi and room taxes"
2742,d,Federal Judicial Center,"Malibu, CA",FJC educational seminar ot program,"Airfare, hotel. meals, taxi and room taxes"
2742,d,Federal Judicial Center,Washington DC,FJC educational seminar,"Airfare, hotel, meals, taxi and room taxes"
2742,d,Federal Judicial Center,"Denver, CO",FJC educational seminar,"Airfare, hotel, meals, taxi and room taxes"
2742,d,Department of Justice,"Lima, Peru",Meeting or seminar with another government entity,"Airfare, hotel, meals, taxi and room taxes"
2742,d,Department of Justice,"Kuala Lumpur, Malysia",Meeting or seminar wit another government entity,"Alrfare, hotel, meals, fax: and room {axes"
2742,d,Federal Judicial Center,"Malibu, CA",FJC educational seminar,"Airfare, hotel, meals, taxi and room taxes"
2742,d,Judicial Conference Committee or subcommittee,"Louisville, KY",Circuit judicial conference,"Airfare, hotel, meals, taxi and room taxes"
2742,d,Administrtive Office,"Chicago, IL","Meeting sponsored by the AO, FIC, USSC or JPMDI","Airfare, hotel, meals, taxi and room taxes"
2742,d,Federal Judicial Center,"San Diego, CA","Meeting sponsored by the AO, FIC, USSC or JPMDL","Airfare, hotel, meals, taxi and room faxes"
2742,d,Federal Judicial Center,"Miami, FL",FIC educational seminar,"Airfare, hotel, meals, tax1 and room taxes"
2742,d,Department of Justice,"Kathmandu, Nepal",Meeting or seminar with another government entity,"Airfare, hotel, meals, taxi and room taxes"
2742,d,Federal Judicial Center,"Windhoek, Namibia",FJC educational seminar,"Airfare, hotel, meals, tax1 and room taxes"
2742,d,JFC,"CAMBRIDGE, MA",EDUCATIONAL SEMINAR,"FOOD, LODGING AND TRANSPORTATION"
2740,d,JTBF CONFERENCE,WASHINOTON DC,CONFERENCE,LODGING AND TRANSPORTATION.
2740,d,AATMANY JAANL MAATYY ONAANUNV MA,,,OTHER MEALS AND LODGING PROVIDED
2740,d,"NEW YORK IP. LAWYERS ASSN,","NEW YORK, NY",FED. JUDICIAL DINNER,"TRANSPORTATION. MEALS, AND LODGING PROVIDED"
2740,d,NaW TIAN NY Cesc. UAL PROPERTY LAWYERS ASSN.,YaWYou\Y,.- “ wea YY,WADA WY. VV CALAY LODGING PROVIDED.
2740,d,HAW ot W ULL LL] RDERS,YA VAL NY TA,A. Vi dlALY 'AMMVY,"S.V VA NAN, AIDA ON. OTHER MEALS AND LODGING PROVIDED."
2740,d,ASPENINSTITUTE,,,MARCH 31-APRIL 2 WYE. MD. INTERNATIONAL HUMAN RIGHTS SEMINAR (TRANSPORTATION. MEALS AND LODGING PROVIDED)
2740,d,NEW YORK INTELLECTUAL PROPERTY LAWYERS ASSN,,,"MARCH 24-25 NEW YORK, N.Y. ANNUAL DINNER HONORING FEDERAL JUDICIARY. ( TRANSPORTATION. MEALS AND LODGING PROVIDED)"
2740,d,VASSAR COLLEGE (Cent'd),,,PRESIDENTIAL INAUGURATION ( TRANSPORTATION. MEALS AND LODGING PROVIDED)
2740,d,VASSAR COLLEGE,,,MAY 11-14.27-28. OCTOBER 27-29. POUGHKEEPSIE.NY AND NEW YORK.N.Y. MTGS. OF BD. OF TRUSTEES AND
2740,d,D.C. Bar,,,"June 10 Washington, DC. CLE Course Lecturer. (Parking."
2740,d,American Bar Association,,,"April 9-11 Houston, TX. Panelist at Litigation Section Annual Conference. (Transportation Lodging & meals provided.) Oct. 9-11"
2740,d,Columbia Law School,,,"April 12-13 New York, NY. Received distinguished alurmus award at the Annual Robeson Conference. (Transportation & lodging. Meal provided.)"
2740,d,New York Intellectual Property Law Assn,,,"Mar. 28-29 New York, NY. Annual dinner honoring Federal Judiciary. (Transportation. Meals & lodging provided.)"
2740,d,Harvard Law School,,,"Sept. 8-12 Cambridge, MA. Guest faculty for workshop. (Transportation, some meals. Other meals & lodging provided.)"
2740,d,Vassar College,"Poughkeepsie, NY",Trustees’ meeting,Transportation. Meals and lodging provided.
2740,d,Vassar College,"Poughkeepsie, NY",Irustees’ meeting,Transportation. Meals and lodging provided.
2740,d,Vassar College,"Poughkeepsie, NY",Trustees’ meeting,Transportation. Meals and lodging provided.
2740,d,Vassar College,"Poughkeepsie, NY",Trustees’ meeting,Transportation and one meal. Other meals and lodging provided.
2740,d,Harvard Law School,"Cambridge, MA",Trial Advocacy Faculty,Transportation and some meals. Lodging and other meals provided.
2740,d,PROPERTY LAW ASSOCIATION,,FEDERAL JUDICIARY,LODGING PROVIDED.
2740,d,,,,"transport, other meals, and lodging"
2738,r,Belmont College of Law,"Nashville, Tennessee","Addressed Belmont Law community; met with students, faculty, and Federal judges",Transportation and meal
2738,r,Nashville School of Law; Vanderbilt University Law School,"Nashville, Tennessee","Met with NSL students and faculty; and, addressed Vanderbilt Law School community","Transportation, meals, and lodging"
2738,r,,,Lecture; met with Federal judges;,rel ORAL AA LN Sy lila CEDAR RT 0a
2738,r,,,to the Jaw school community:,
2738,r,,,attended College of Law Centennial events,
2738,r,University,"ASG TIGR, AVILA v@r VINE",clio THAI LUMEN attended admissions ceremony for 130,"ch MEI TUVALA, TING, wit YO"
2738,r,New England School of Law,7/13.23/09,Taught course on the Supreme Court,
2738,r,Pepperdine University School of Law,"Malibu, California",Judged the Vincent,"Air transportation, meals, and lodging"
2738,r,Columbia University School of Law,New York. New York,Judged Moot Court Finals,Air transportation
2738,r,University of Kansas School of Business and School of Law,"Lawrence, Kansas",Judged Moot Court,"Air transportation, meals, and lodging"
2738,r,8.,,Lecture; taught,
2738,r,9.,,School of Business,
2738,r,10.,,Class and Constitutional,
2738,r,,,Law Class,
2738,r,12St. Mary's University School of Law,"Innsbruck, Austna",Taught course on the,"Air transportation, meals, and lodging"
2738,r,University of Florida School of Law,"Gainesville, Florida",Judged Moot Court,"Air transportation, meals, and lodging"
2738,r,15.,,Finals: visited two,
2738,r,16.,,classes at the,
2738,r,17,,School of Law for,
2738,r,18,,discussions with students,
2738,r,"19University of Notre Dame, The Law School","South Bend, Indiana","""Conversation with the","Air transportation, meals, and lodging"
2738,r,20,,"Chief Justice""",
2738,r,22,,"school community,",
2738,r,23,,visited Administrative,
2738,r,24.,,Law class for discussions,
2738,r,25.,,with students,
2738,r,26Drake University,Des Moines. lowa,Delivered the Opperman,"Atr transportation, meals, and lodging"
2738,r,27,,Lecture: met with U.S,
2738,r,28,,District Judges,
2738,r,Washington & Lee Law School,,,October 24 - Lexingten VA - Judge moet court finals {meals and room)
2738,r,School of Law,,Distinguished Alumni Awards Dinner,rT Th
2738,r,Han rr Fortn Fudsindry adit School,ih i eit,"Lecture: met with students faculty, and Federal judges",ny Tn Feu TH ay rest
2738,r,,Republic,Supreme Court - Historical Perspective,"TH, Te I"
2738,r,Australia,,Supreme Court - Historical Perspective,"ERR TRON, ANU A Ita mers ace 4 Llasuraint che uae 0"
2738,r,Wellington,TEA vl a Aer i,Supreme Court - Historical Perspective,"pp rig rede age Mesralplramon: Noremeeadaing, arc"
2738,r,Harvard Law School,"Cambridge, Massachusetts",Attended Harvard Law School's Bicentennial,Transportation
2738,r,"SS, Harvard Law School","Cambridge, Massachusetts",Judged moot court; met with students,Transportation and meals
2738,r,,,AAI ve. hr nasil events; classroom visits with students,"TH, Te I"
2738,r,,,Supreme Court - Historical Perspective,"TH, Te I"
2738,r,"THREE Nd, TY pre er il",Bara et tT i,Moot Court; met with students in law class;,"TH, Te I"
2738,r,,,The LS. Supreme Court Historical Perspective,
2738,r,TTT TE Tg yp pea,a Tg rat,Supreme Court - Historical Perspective,"TH, Te I"
2733,r,University of Southern California,"Los Angeles, California",2019 Intellectural Property Institute,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Sedona Conference,"Philadelphia, Pennsylvania",WG9/WG10 Patent Annual Metting,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Ludwig Maximillian University,"Munich, Germany",Injunctions & Fleibility in Patent Law,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,"Rikkyo University, Chiba University, & Japan American Society","Tokyo and Kyoto, Japan",Presidential Power and the Rule of Law,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,National Judicial College,"San Francisco, California",Judicial Independence Roundtable,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,E.D. of Texas Bar Association,"Plano, Texas",2019 E.D. of Texas Bench/ Bar Conference,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Tarleton State University,"Fort Worth, Texas",Police Consent decree Conference,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,California Judges Association,"Los Angeles, California",Preserving Free Courts,"Airfare, Lodging, Transportation, and Parking"
2733,r,American Conference Institute,"Dallas, Texas",Data Privacy Conference CLE,Airfare and Lodging
2733,r,Fas. LRTI Sut i Institute,,ai Rint ual Discrimination Litigation Conference CLE,MILIGIL GIA LUISE
2733,r,American Conference Institute,"Philadelphia, Pennsylvania",Litigating and Managing Asbestos Claims CLE,"Airfare, Train Travel, and Lodging"
2733,r,Am. Conf. Inst,"Philadelphia, PA",Spoke at E-Discovery Workshop,"Transportation, lodging, parking. meals"
2733,r,Institute,,Long Term Care Conference,and Parking
2733,r,Waseda University,"Tokyo, Japan",FRAND Patents,"Airfare, Lodging, Transportation, and Parking"
2733,r,Lmiversity of Southern } California,"Los Angels, California",IP Institute,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,GPO and Munich Techmical University,"Bonn, Germany",Patent Law,"Aurfaire, Lodging, Food. Transportation, and Parking"
2733,r,American Conference Institute,"Philadelphia, Peonsyivania",Bad Faith Litigation,"Airfare, Lodging, Transportation, and Parking"
2733,r,Association,,Issues and Regulatory Compliance,Parking
2733,r,American Conference Institute,"New York, New York",Wage & Hour Claims Conference,"Aarfarre, Lodgmg, I'ransportation, and Parking"
2733,r,California Bar Association IP Section,Sunta Barbara. California,FRAND Patents,"Aurfaire, Lodging, Food, Transportation, and Parking"
2733,r,GPO/Munich IP Lawyers/ TUM,"Munich, Germany",SEP Patent Infringement,"Airfaire, Lodging, Food, Transportation, and Parking"
2733,r,Owners Association,"Vancouver, British Columbia, Canada",Trademark and [P Litigation,"Lodging, Food, Transportation, and Parking"
2733,r,American Conference Institute,"Dallas, Texas",Residential Mortgage Litigation,"Airfare, Lodging, Transportation, and Parking"
2733,r,American Conference Institute,"New York, New York",ERISA Linganon & Insurnace Allocation,"Airfaire, Lodging, Transportation, and Parking"
2733,r,University of Texas School of Law,"Austin, Texas",Advanced Patent Law Institute,"Airfaire, Lodging, Food, Transportation, and Parking"
2733,r,"Cravath, Swam & Moore","New York, New York",1P CLE,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,American Conference Institute,"Miami, Florida",Consumer Finance Class Actions & Litigation CLE,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,American Conference Institute,"New York, New York",Defending and Managing Class Actions CLE,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Newman Inn of Court,"Alexandna, Virgina",IP Law Conference,"Lodging, Food, and Parking"
2733,r,Institute,,Litigation and Regulatory Enforcement,and Parking
2733,r,Owners Association,"Palo Alo, California",IP «- FRAND CLE,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,,,The International Reach of Patents,Ta nh Lm kr Ply ny THEN
2733,r,American Contrence Institute,"Boston, Massachusetts",Litigating Disability Insurance Claims CLE,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Institute,,A SLC SEAT J. dd Litigation & Regulatory Enforcement,SR WI li rt J ity So Si ibis lait 4 and Parking
2733,r,Taiwan Patent Law Society,"Tarwan, Republic of China",U.S. Patent Law Conference,"Airfaire, Lodging, Food, Transportation, and Parking"
2733,r,Association of Corporate Counsel,"San Francisco, Calbirofmia",Supreme Court Decisions Pancl,"Airfaire, Lodging, Food, Transportation, and Parking"
2733,r,Sedona Conference,"Waushmgton, DC",The 16th Annual Sedona Conference on Patent Law,"Aarfarre, Lodgmg, Food. Transportation, and Parking"
2733,r,American Conterence Institute,"New York, New York",13th National Forum on ERISA Litigation,"Airtaire, Lodging, Food, Transportation, and Parking"
2733,r,Univesity.,,Department Consent Decrees,
2733,r,American Conference Institute,"Philadelphia, Pennsylvania",Insurance Coverage & Extra-Contractual Dipsutes,"Airfaire, Lodging, Food, Transportation, and Parking"
2733,r,Umversity of Washington Law School,"Alicante, Spain",IP Program,Aarfare and Lodging
2733,r,American Conference Institute,"Chicago, inois",Trucking Litigation CLE,Airfare and Parking
2733,r,American Conference Institute,"Mam, Flonda",Long-Term Care Litigation CLE,"Airfare, Taxi, and Parking"
2733,r,American Conference Institute,"San Fruncaisco, Califorma",ERISA CLE,"Aarfare, Taxi, and Parking"
2733,r,American Conference Institute,"Chicago, inois",Chemical Products Liability CLE,"Airfare, Taxi, and Parking"
2733,r,American Conference Institute,"Orlando, Flonda",Consumer Finance CLE,"Aarfare, Tux, and Parking"
2733,r,American Conterence Institute,"Phoenix, Arizona",Manged Care CLE,"Aiurtare, Taxi, and Parking"
2733,r,School of Law,,TRY Me DUN ST RATT Be a bd Dept. Consent Decrees — Second Annual Conference,
2733,r,Law College Association of the Univeristy of Arizona,"Tuscon, Anzona",Intellectual Property Conference,"Airtare, Lodging, Food, Transportation, and Parking"
2733,r,Whitman College,"Walla Walla, Washington",Conduct classes and student discussions on sentencing,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,University of Pennsylvania,"Philadelphia, Pennsylvania",Standard Essential Patents Workshop,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Lmversity of Southern x California,"Los angeles, California",Intellectual Property Institute,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Counsel Cafe,"Palo Alto, Califorma",1P Counsel Cafe Conference,"Auarfare, Lodgmg, Food, Transportation. and Parking"
2733,r,Los Angeles IP Law Association,"Op, Califorma",Los Angeles IP Law Association Spring Seminar,"Airfare, Lodging, Food, Transportation. and Parking"
2733,r,Techmical University of Munich,"Munich, Germany",Intemational Patent Law Conference,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,International Assoctanion for the Protection of TP,"Cancun, Mexico",2018 AIPPI World Congress - Panel,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Georgetown Umventy Law Center,"Washmgton, D.C",Conducting class on constitutional law,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,"European Patent Lawyers Association (""EPLAW"")","Vemcee, Italy",Eurpean Judges’ Forum on IP Law,"Airfaire, Lodging, Food, Transportation, and Parking"
2733,r,The National Judicial College,"Washington, D.C",National Symposium on constitutional law,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,American Conference Institute,"Houston, Texas",Admiralty & Maritime Claims,"Airfare, Lodging, Transportation, and Parking"
2733,r,American Conference d Institute,"Chicago, inois",Medical Device Patents,"Airfare, Lodging, Transportation, and Parking"
2733,r,American Conference ; Institute,"Philadelphia, Pennsylvania",Bad Faith Ligation,"Airfare, Lodgmg, Transportation, and Parking"
2733,r,Center for Advanced Studies mn IP Law,"Shanghai, China",FRAND Patents,"Airfaire, Lodging, Transportation, and Parking"
2733,r,Munich Patent Law } Association,"Munich, Germany",FRAND Patents,"Airfare, Lodging, Transportation, and Parking"
2733,r,City University of London,"London, England, Lmted Kingdom",FRAND Patents,"Adrtaire, Lodging, Transportation, and Parking"
2733,r,American Conference Institute,"Miami, Flonda",Bad Faith Lingation,"Airfaire, Lodging, Transportation, and Parking"
2733,r,American Conference Institute,"New York, New York",Patent Litigation,"Ausrfarre, Lodging, Transportation, and Parking"
2733,r,India's National Judicial Academy,,,
2733,r,,,Long Term Care Litigation CLE,
2733,r,American Conference Institute,"New York, NY",Construction Claims and Litigation CLE,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Licensing Executives Society,"Munich, Germany",IP Law Conference,"Airfare, Lodging, Food, and Transportation"
2733,r,American Conference Institute,"Philadelphia, PennsyIvama",Bad Faith Claims & Litigation CLE,"Auarfare, Lodgmg, Food, Transportation. and Parking"
2733,r,And Munich IP Lawyers’ Assoc.,,,Tr Ty eT
2733,r,,,Competition Policy in the Courtroom/Antitrust CLE,and Parking
2733,r,AIPPI,"Rio, Brazil","Standard Esscatial Pateat (""SEP"") Law CLE","Aurtaire, Lodging, Food, and Transportation"
2733,r,,,Conference on Conference on Patent Litigation,and Parking
2733,r,Institute,,Law Management & Consumer Lending CLE,and Parking
2733,r,American Conference Institute,"Miami, Florida",Wage & Hour Litigation CLE,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,American Conference Institute,"Chicago, inois",ERISA Lingation CLE,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Arnzona State Umiversaty,"Pheonix, Anzona",Standard Essential Patents Workshop,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Whitman College,"Walla Walla, Washington",Class on Sentencing,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,American Conference Institute,"New York, New York",Class Action Workship,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Umiversity of Oregon,"Eugene, Oregon",Law School Commencement Address,"Lodging, Food, and Transportation"
2733,r,Techmcal Univeristy of Munich,"Munich, Germany",Intemational Law Conference,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Owners Association,"San Fransisco, California",Panel ar Annual Meeting,"Airfaire, Food, Transportation, and Parking"
2733,r,Smgapore Management University,"Singapore, Republic of Singapore",Standard Essential Patents and FRAND Conference,"Airfare, Lodging, Food, Transportation, and Parking"
2733,r,Comell Univeristy,"Ithaca, New York",Moot Court Competition,"Airfaire, Lodging, Food, Transportation, and Parking"
2733,r,American Conterence Institute,"New York, New York",Litigating Disability Claims,"Aiurtare, Lodging, Taxi, and Parking"
2733,r,American Conference Institute,"Miami, Florida",Long-Term Care Litigation CLE,"Airfare, Lodging, Taxi, and Parking"
2733,r,American Conference d Institute,"Houston, Texas",Maritime Lingation CLE,"Aarfare, Lodging, Taxi, and Parking"
2733,r,American Conference ; Institute,"Chicago, Hhinots",Chemical Products Liability CLE,"Aarfare, Lodgm, Taxi, and Parking"
2727,r,"See Section VIII, Part IV",,,
2727,r,"See Section VIII, Part IV",,,
2727,r,"See Section VIII, Part V",,,
2727,r,"See Section VIII, Part V",,,
2727,r,"Pepperdine University, Malibu, CA",,,"1/15/04 « Judicial Clerkship Institute Speaker (transportation, food and lodging)"
2727,r,"See Section VIII, Part V",,,
2727,r,"Chicago Humanities Festival, Chicago, IL",,,"11/8/03 (transportation, foes and lodging)"
2727,r,"University of Alabama, Tuscaloows, AL",,,"3/18-24/03 Campbell Moot Courl Competition {trzasportation, food and lodging}"
2727,r,"University of Souther California, Los Angeles, CA",,,"2/27-3/6/03 - Moot Court Cempetition (transportation, foed and lodging}"
2727,r,"Pepperdme University, Malibu, CA",,,"1/1-5/03 - Judicial Cleskship Institute Speaker (transportation, food and lodging)"
2727,r,"See Section VIII, Part IV",,,
2727,r,"See Section VIII, Part IV",,,
2727,r,"See Section VIII, Part IV",,,
2727,r,"See Section VII, Part IV",,,
2727,r,"See Section VIII, Part IV",,,
2727,r,"See Section VIII, Part IV",,,
2727,r,"See Section VII, Part IV",,,
2727,r,"See Section VIII, Part IV",,,
2727,r,"See Section VIII, Part IV",,,
2727,r,"See Section VII, Part IV",,,
2723,r,United States Court of Appeals,,,"investiture of Hen. Steven M, Colloton (December 5, 2003) Pes Moines, 1A"
2723,r,United States Coust af Appeals,,,"Eighth Circuit Judicial Conference (July 15-18, 2083) Minneapalis, MN"
2723,r,American College of Trial Lawyers,,,"American College of Trial Lawyess National Trial Competition (March 26-29, 2003) Houston, ™"
2723,r,Federal Circuit Bar Association,,,Panel participant
2723,r,United States Court of Appeals,,,"Criminal Law Committee Meeting (December 4-6, 2005) Hendersen, NV"
2723,r,United States Court of Appeals,,,"National Symposium for Court of Appeals Judges (November 2-4, 2005) Washington, DC"
2723,r,United States Court of Appeals,,,"Eighth Circuit Judicial Conference (October 18-21, 2005) Colorado Springs, CO"
2723,r,United States Court of Appeals,,,"National Sentencing Institute (July 10-12, 2005) Washington, DC"
2723,r,United States Court of Appeals,,,"Judicial Workshop - Eighth & Tenth Circuits (June 8-11, 2005) Santa Fe, NM"
2723,r,American College of Trial Lawyers,,,"Present ACTL Emil Gumpert Award (May 22-24, 2005) Rapid City, SD"
2723,r,American College of Trial Lawyers,,,"Judge ACTL National Trial Competition (April 1-5, 2005) San Antonio, TX"
2723,r,University of lowa Law School,,,"Judge Unitersity of lowa Law School Moot Court Competition (March 4-5, 2005) lowa City, IA"
2723,r,United States Court of Appeals,,,"Memorial Service for Hon. Richard S. Amold (January 10, 2005) St. Louis, MO"
2723,r,Tampa Bay Chapter - Federal Bar Association,"Orlando, FL",Sentencing Seminar,"Airfare, hotel, parking, meals"
2723,r,American College of Trial L awyers,"St. Louis, MO",Appellate Advocacy,Airfare. hotel. meals & taxi
2723,r,Church of Jesus Christ of the Latter-Day Saints,,,Two tickets to Morman Tabemacle Choir (from Church through Creighton Law School)
2723,r,"Little Rock, AR Inns of Court & Arkansas Law School",,,"Little Rock, AR"
2723,r,Federal Bar Association,,,
2723,r,American College of Trial Lawyers,,,"American College of Trial Lawyers Annual Meeting (October 21-24, 2004) St. Louis, MO"
2723,r,United States Court of Appeas,,,"Investiture of on. Raymond W. Gruender (October 14, 2004) St. outs, MO"
2723,r,United States Court of Appeals a ,,,"Funeral of Hon. Richard S. Amold (September 28, 2004) Little Rock, AR Ee "
2723,r,United States Court of Appeals,,,"zg 1th Circuit Judicial Conference (July 13-16, 2004 Rapid City, SD"
2723,r,Comell Law School ,,,"Langfan Moot Court Competition - Final Round (April 16-18, 2004) Ithaca, NY LE  "
2723,r,Amzian College of Tri Lawyers,,,"American College of Trial Lawyers National Nial Comrpotiioo (March 25-28, 2004) San Antonio, TX ee ,"
2723,r,Vanderbilt Law School,"Nashville, TN",Judge Moot Court Competition,"Airfare, hotel, airport parking & meals"
2723,r,AccessData,"Las Vegas, NV",Speaker at Conference,"Airfare, hotel & meals"
2723,r,Mumnesota CLE,"Minneapolis, MN",Speak at Appellate Practice Institute,"Airfare, taxi & airport parking"
2723,r,JINR Fo daa th da gu Jah Si Law,pw dass end iia,,"(luggage fees, mileage, airport parking, meals)"
2723,r,ET ~ Mowe of Law,peat du Males,O'Connor Justice Prize Dinner,
2723,r,,,& Claims: Challenges of Rebuilding,i ell ill ia” eit
2719,d,,,ABA Section of Antitrust Law,
2719,d,,,National Council Meeting at FBA Midyear Meeting,
2719,d,,,Meeting of ABA Section of International Law,
2719,d,,,Association of State Judicial Educators,
2719,d,American Bar Association,"Boston, MA",Attend/Speak at ABA Annuul Meeting,"Transportation, lodging, meals, and materials"
2719,d,,,National Council Meeting at FBA Annual Convention,
2719,d,Nanonal Association of Administrative Law Judiciary,"Memphis, TN",Speak at NAALJ Annual Conference,Transportation and lodging
2719,d,,,Meeting of ABA Section of International Law,
2719,d,Casablanca Arbitration Centre,"Casablunca, Morocco",Attend/Speak at Casablanca Arbitration Days,"Transportation, lodging, and meals"
2719,d,,,AFC ba. Seder rotate sa Research Advisory Committee,
2719,d,,,conference on economics and rule of law,I Ty li
2719,d,Federal Bar Association,"Washington, DC",Attend/Participate in FBA Midyear Meeting,Transportation
2719,d,Comell Law School,"Ithaca, NY",Deliver lectures,"Transportation, lodging, and meals"
2719,d,,,Meeting of ABA Section of International Law,"RT Te rr Td re a © te TE og TT mami,"
2719,d,,,Anniversary of Magna Carta,
2719,d,Federal Bar Association,"Salt Lake City, UT",Attend/Participate in FBA National Convention,Transportation
2719,d,Comell Law School,"Ithaca, NY",Deliver lectures,"Transportation, lodging, and meals"
2719,d,,,Meeting of ABA Section of International Law,RE RN A LN og HR AT eT
2719,d,,,Research Advisory Committee,
2719,d,American Bar Association,"Atlanta, GA",ABA Midyear Meeting,Transportation and lodging
2719,d,,,Committee on Federal Judicial Improvements,1 rr Te edi
